id,rated,turns,victory_status,winner,increment_code,white_rating,black_rating,first_move,opening_eco,opening_name,opening_ply
TZJHLljE,FALSE,13,outoftime,white,15+2,1500,1191,d4,D10,Slav Defense: Exchange Variation,5
l1NXvwaE,TRUE,16,resign,black,5+10,1322,1261,d4,B00,Nimzowitsch Defense: Kennedy Variation,4
mIICvQHh,TRUE,61,mate,white,5+10,1496,1500,e4,C20,King's Pawn Game: Leonardis Variation,3
kWKvrqYL,TRUE,61,mate,white,20+0,1439,1454,d4,D02,Queen's Pawn Game: Zukertort Variation,3
9tXo1AUZ,TRUE,95,mate,white,30+3,1523,1469,e4,C41,Philidor Defense,5
MsoDV9wj,FALSE,5,draw,draw,10+0,1250,1002,e4,B27,Sicilian Defense: Mongoose Variation,4
qwU9rasv,TRUE,33,resign,white,10+0,1520,1423,d4,D00,Blackmar-Diemer Gambit: Pietrowsky Defense,10
RVN0N3VK,FALSE,9,resign,black,15+30,1413,2108,e4,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5
dwF3DJHO,TRUE,66,resign,black,15+0,1439,1392,e4,C50,Italian Game: Schilling-Kostic Gambit,6
afoMwnLg,TRUE,119,mate,white,10+0,1381,1209,e4,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
HgKLWPsz,FALSE,39,mate,white,20+60,1381,1272,e3,A00,Van't Kruijs Opening,1
Vf5fKWzI,FALSE,38,resign,black,20+60,1381,1867,e4,C02,French Defense: Advance Variation |  Paulsen Attack,9
HRti5mKv,FALSE,60,resign,black,5+40,1381,1936,e4,C00,French Defense: Knight Variation,3
2fEjSei6,FALSE,31,resign,black,8+0,1381,1607,e4,C00,French Defense #2,2
u7i6dOaJ,FALSE,31,mate,white,15+15,1094,1141,e4,C50,Four Knights Game: Italian Variation,8
guanvMR5,FALSE,43,resign,black,15+15,1141,1094,e4,C57,Italian Game: Two Knights Defense |  Knight Attack,7
PmpkWkmm,FALSE,52,resign,black,15+15,1094,1141,e4,C50,Four Knights Game: Italian Variation,8
EwaK0IsE,FALSE,66,mate,black,15+16,1141,1094,e4,C50,Four Knights Game: Italian Variation,8
yrSDozT3,FALSE,101,resign,black,15+15,1094,1300,e4,C41,Philidor Defense #3,5
x31mXlvc,FALSE,25,resign,white,11+0,1500,1094,d4,D00,Queen's Pawn Game,2
oQklnWWp,FALSE,14,resign,black,15+15,1094,1676,e4,C55,Italian Game: Anti-Fried Liver Defense,6
